name,description,address,city,state,zip,tcn
CHTTMAG2,Magellan Terminals Holdings LP,4326 Jersey Pike,Chattanooga,TN,37401,T-62-TN-2208
CHTTNKM,Kinder Morgan Southeast Terminals LLC,4716 Bonny Oaks Drive,Chattanooga,TN,37401,T-62-TN-2201
CHTTNMA1,Magellan Terminals Holdings LP,4326 Jersey Pike,Chattanooga,TN,37401,T-62-TN-2208
CHTTNMA2,Magellan Terminals Holdings LP,4235 Jersey Pike,Chattanooga,TN,37401,T-62-TN-2200
CINOHKM,Kinder Morgan Liquids Terminals LLC,930 Tennessee Avenue,Cincinnati,OH,45201,T-31-OH-3104
CINOHMPL,MPLX Cincinnati,4015 River Road,Cincinnati,OH,45201,T-31-OH-3100
CITVIC,CITGO - Vicksburg,1585 Haining Rd,Vicksburg,MS,39180,T-64-MS-2419
CLEOHBPP,BP Products North America Inc,5241 Secondary Road,Cleveland,OH,44101,T-34-OH-3175
COBNLIMP,IMPERIAL CORNERBROOK,730 West Connors Road,CORNER BROOK,NL,NULL,NULL
COBNLULT,ULTRAMAR CORNER BROOK,13 leggos ave,CORNER BROOK,NL,NULL,NULL
COLCAKM,"SFPP, LP",2359 S. Riverside Avenue,Bloomington,CA,92316,T-33-CA-4757
COLGAKM,Kinder Morgan Southeast Terminals LLC,5131 Miller Road,COLUMBUS,GA,NULL,T-58-GA-2520
COLGAMAR,MPLX Columbus,5030 Miller Road,COLUMBUS,GA,NULL,T-58-GA-2523
COLGAOMG,"Omega Partners III, LLC",5225 Miller Road,COLUMBUS,GA,NULL,T-58-GA-2522
COLMSKM,Kinder Morgan Southeast Terminals LLC,31 Kola Road,Collins,MS,39428,T-64-MS-2402
COLMSMOT,Motiva Enterprises LLC,49 So. & Kola Rd.,Collins,MS,39428,T-64-MS-2404
COLOHBUC,"Buckeye Terminals, LLC - Columbus",303 North Wilson Road,Columbus,OH,43085,T-31-OH-3105
COLOHMEL,MPLX Columbus (East),3855 Fisher Road,Columbus,OH,43085,T-31-OH-3101
ALBGAMAG,Magellan Terminals Holdings LP,1722 W Oakridge Dr,Albany,GA,31701,T-58-GA-2501
ALBNMP66,Phillips 66 PL - Albuquerque,6356 Desert Road SE,Albuquerque,NM,87101,T-85-NM-4254
ALBNMVEC,South Florida Materials Corp dba Vecenergy,3200 Broadway SE,Albuquerque,NM,87101,T-85-NM-4251
ALBNMWES,Western Refining - Albuquerque,3209 Broadway Southeast,Albuquerque,NM,87101,T-85-NM-4255
AMLTXSHM,"Nustar Logistics LP - Amarillo, TX",4200 West Cliffside,Amarillo,TX,79101,T-75-TX-2653
ANACAEXX,Torrance Logistics Company,1477 Jefferson,Anaheim,CA,92801,T-33-CA-4750
APXNCMOT,Motiva Enterprises LLC,2232 Ten-Ten.  Road,Apex,NC,27502,T-56-NC-2027
ARCLACHV,"Chevron USA, Inc.- Arcadia",Highway 80 East,Arcadia,LA,71001,T-72-LA-2351
ARCLAEXX,Sunoco Partners Marketing & Terminals LP,Highway 80 East,Arcadia,LA,71001,T-72-LA-2353
ARGILKM,Kinder Morgan Liquids Terminals LLC,8500 West 68th Street,Argo,IL,60501,T-36-IL-3305
ARGOILEQ,"Buckeye Terminals, LLC - Argo",8600 West 71st. Street,Bedford Park,IL,60499,T-36-IL-3315
ASHASH,"Growmark, Inc.",Rt 49 South,Ashkum,IL,60911,T-37-IL-3364
ASTNTXFH,"Flint Hills Resources, LP-Austin",9011 Johnny Morris Rd,Austin,TX,73301,T-74-TX-2706
ATHGAKIN,Kinder Morgan Southeast Terminals LLC,3460 Jefferson Road,Athens,GA,30601,T-58-GA-2506
ATHGAKM,Kinder Morgan Southeast Terminals LLC,3460 Jefferson Road,Athens,GA,30601,T-58-GA-2506
ATHGATRS,TransMontaigne - Athens,3450 Jefferson Road,Athens,GA,30601,T-58-GA-2508
AURCOMAG,"Magellan Pipeline Company, L.P.",15000 E. Smith Rd.,AURORA,CO,80010,T-84-CO-4100
BAINGATR,TransMontaigne - Bainbridge,1909 East Shotwell Street,Bainbridge,GA,31717,T-58-GA-2515
BAMGAMAG,Magellan Terminals Holdings LP,2400 Nabors Road,Birmingham,AL,35201,T-63-AL-2309
BANGAMOT,Motiva Enterprises LLC,1803 East Shotwell St.,Bainbridge,GA,31717,T-58-GA-2514
BEATXMOT,Motiva Enterprises LLC,9406 West Port Arthur Rd,Beaumont,TX,77701,T-76-TX-2783
BEATXSUN,Sunoco Partners Marketing & Terminals LP,15651 W. Port Arthur Rd.,Beaumont,TX,77701,T-76-TX-2798
BELSCBUC,"Buckeye Terminals, LLC - Belton",Hwy 20 North,Belton,SC,29627,T-57-SC-2051
BELTSCBU,"Buckeye Terminals, LLC - Belton",Hwy 20 North,Belton,SC,29627,T-57-SC-2051
BELTSCMA,MPLX Belton,14315 State Rt. 20,Belton,SC,29627,T-57-SC-2053
BLOCASFP,"SFPP, LP",2359 S. Riverside Avenue,Bloomington,CA,92316,T-33-CA-4757
BOSLATEP,ERPC Shreveport Area Truck Rack,4731 Viking Drive,Bossier City,LA,71111,T-72-LA-2394
BRGLAEXX,ExxonMobil Oil Corp.,3329 Scenic Highway,Baton Rouge,LA,70801,T-72-LA-2358
BRMALAL,Allied Energy Corporation,2700 Ishkooda Wenonah Rd.,Birmingham,AL,35201,T-72-AL-2343
BRMALMAR,MPLX Birmingham,2704 28th St Southwest,Birmingham,AL,35201,T-63-AL-2306
BRMGALSE,"Buckeye Terminals, LLC - Birmingham",1600 Mims Ave SW,Birmingham,AL,35201,T-63-AL-2312
BTIABPOL,"Buckeye Terminals, LLC - Bettendorf",75 South 31st Street,Bettendorf,IA,52722,T-42-IA-3450
BUCTOL,"Buckeye Terminals, LLC - Toledo",2450 Hill Avenue,Toledo,OH,43601,T-34-OH-3148
BUDATXFH,Mustang Ridge Fuels Terminal,1165 East Lone Star Dr.   ,Buda,TX,78610,T-74-TX-2758
CAHILCO,Phillips 66 PL - E. St.  Louis,3300 Mississippi Ave,Cahokia,IL,62206,T-37-IL-3366
CALABIOL,IOL CALGARY,"9911 Barlow Trail, Calgary",CALGARY,AB,T2X 3R7,NULL
CANOHBUC,"Buckeye Terminals, LLC - Canton",807 Hartford Southeast,Canton,OH,44701,T-34-OH-3143
CANOHMPX,MPLX Canton,2419 Gambrinus Ave  ,Canton,OH,44701,T-34-OH-3140
CARCAKM,Kinder Morgan Tank Storage Terminal LLC,2000 East Sepulveda Blvd.,Carson,CA,90745,T-33-CA-4751
CCFLSEA,Seaport Canaveral,555 Hwy 401,Cape Canaveral,FL,32920,T-59-FL-2680
CCTXCITG,CITGO - Corpus Christi,1308 Oak Park Street,Corpus Christi,TX,78401,T-74-TX-2716
CCTXFH,"Flint Hills Resources, LP-Corpus Christi",2825 Suntide Road,Corpus Christi,TX,78401,T-74-TX-2721
CCTXVALR,Valero Refining Co. - Corpus Christi,5900 Up River Rd.,Corpus Christi,TX,78401,T-74-TX-2714
CHATGAKM,Kinder Morgan Liquids Terminals LLC,3132 Parrott Avenue N W,Atlanta,GA,30301,T-58-GA-2511
CHATMAG1,Magellan Terminals Holdings LP,4235 Jersey Pike,Chattanooga,TN,37401,T-62-TN-2200
CHATNLTC,Lincoln Terminal Company,4211 Cromwell Rd.,Chattanooga,TN,37401,T-62-TN-2207
CHATTCIT,CITGO - Chattanooga,4233 Jersey Pike,Chattanooga,TN,37401,T-62-TN-2202
CHATTN,CITGO - Chattanooga,4233 Jersey Pike,Chattanooga,TN,37401,T-62-TN-2202
CHEVABUC,"Buckeye Terminals, LLC - Chesapeake",4030 Buell Street,Chesapeake,VA,23320,T-54-VA-1650
CHEVACIT,CITGO - Chesapeake,110 Freeman Street,Chesapeake,VA,23320,T-54-VA-1652
CHEVAKM,Kinder Morgan Southeast Terminals LLC,4115 Buell Street,Chesapeake,VA,23320,T-54-VA-1654
CHEVATRA,TransMontaigne - Norfolk,7600 Halifax Lane,Chesapeake,VA,23320,T-54-VA-1674
CHLILBE,"Buckeye Terminals, LLC - East Chicago",400 East Columbus Dr,East Chicago,IN,46312,T-35-IN-3225
CHLNCCIT,CITGO - Charlotte,7600 Mount Holly Road,Charlotte,NC,28201,T-56-NC-2001
CHLNCKIN,Kinder Morgan Southeast Terminals LLC,6801 Freedom Dr,THRIFT,NC,28214,T-56-NC-2000
CHLNCKM,Kinder Morgan Southeast Terminals LLC,502 Tom Sadler Rd.,Charlotte,NC,28201,T-56-NC-2004
CHLNCMA,Magellan Terminals Holdings LP,7924 Mt. Holly Rd.,Charlotte,NC,28201,T-56-NC-2024
CHLNCMAE,MPLX Charlotte (East),7401 Old Mount Holly Road,Charlotte,NC,28201,T-56-NC-2008
CHLNCMAG,Magellan Terminals Holdings LP,7145 Mount Holly Rd.,Charlotte,NC,28201,T-56-NC-2006
CHLNCMAR,MPLX Charlotte (West),8035 Mt. Holly Rd.,Charlotte,NC,28201,T-56-NC-2002
CHLNCMOS,Motiva Enterprises LLC,6851 Freedom Dr.,Charlotte,NC,28201,T-56-NC-2005
CHLNCMOT,Motiva Enterprises LLC,410 Tom Sadler Rd.,Charlotte,NC,28201,T-56-NC-2007
CHMLAMOB,"Chalmette Refining, LLC",1700 Paris Rd Gate 50,Chalmette,LA,70043,T-72-LA-2360
CHMPILMA,MPLX Champaign,511 S. Staley Road,Champaign,IL,61820,T-37-IL-3358
CHPVACIT,CITGO - Chesapeake,110 Freeman Street,Chesapeake,VA,23320,T-54-VA-1652
CHRNCMAP,MPLX Charlotte (West),8035 Mt. Holly Rd.,Charlotte,NC,28201,T-56-NC-2002
CHRPEIRV,IRVING CHARLOTTETOWN MARINE,10 Riverside Dr,Charlottetown,PE,NULL,NULL
CHRSCHSS,"Buckeye Terminals, LLC - North Charleston",5150 Virginia Ave.,North Charleston,SC,29405,T-57-SC-2064
CHRSCKIM,"Kinder Morgan Operating LP ""C""",1500 Greenleaf St.,Charleston,SC,29401,T-57-SC-2054
COLOHMPL,MPLX Columbus (West),4125 Fisher Rd,Columbus,OH,43085,T-31-OH-3112
COLOHSUN,Sunoco Partners Marketing & Terminals LP,3866 Fisher Rd,Columbus,OH,43085,T-31-OH-3111
COMCOSHM,"NuStar Logistics, L. P. - Denver",3601 East 56th Street,Commerce City,CO,80022,T-84-CO-4103
CONROC,Kinder Morgan Liquids Terminals LLC,100 East Standard Oil Road,Rochelle,IL,61068,T-36-IL-3303
CORPABUC,"Buckeye Pipe Holdings, L.P. - Coraopolis",520 University Blvd,Coraopolis,PA,15108,T-25-PA-1760
COVKYMPL,MPLX Covington,230 East 33rd Street,Covington,KY,41011,T-61-KY-3263
CSPCONUS,"NuStar Logistics, L. P. - Colorado Springs",7810 Drennan,Colorado Springs,CO,80901,T-84-CO-4108
CSPCOP66,"NuStar Logistics, L. P. - Colorado Springs",7810 Drennan,Colorado Springs,CO,80901,T-84-CO-4108
CUYOHBUC,"Buckeye Terminals, LLC - Cuyahoga Hts.",4850 E 49th Street,Cuyahoga Heights,OH,44127,T-34-OH-3144
CVTLAMOT,Motiva Enterprises LLC,Louisiana Street,Convent,LA,70723,T-72-LA-2361
DABFLMCD,South Florida Materials Corp dba Vecenergy,1200 S. E. 32nd Street,Dania,FL,33004,T-59-FL-2679
DALTXMAG,"Magellan Pipeline Company, L.P.",4200 Singleton Boulevard,Dallas,TX,75201,T-75-TX-2661
DARNSIRV,IRVING HALIFAX HARBOUR MARINE,"500, Pleasant St ",DARTMOUTH,NS,B2Y 3S5,NULL
DAYDAY,"Buckeye Terminals, LLC - Dayton",801 Brandt Pike,Dayton,OH,45401,T-31-OH-3115
DAYOHBUC,"Buckeye Terminals, LLC - Dayton",801 Brandt Pike,Dayton,OH,45401,T-31-OH-3115
DAYOHCIT,CITGO Petroleum Corporation - Dayton,1800 Farr Drive,Dayton,OH,45401,T-31-OH-3121
DAYOHKID,Kinder Morgan Liquids Terminals LLC,621 Brandt Pike,Dayton,OH,45401,T-31-OH-3106
DAYOHSUN,Sunoco Partners Marketing & Terminals LP,1708 Farr Drive,Dayton,OH,45401,T-31-OH-3117
DELPASUN,Sunoco Partners Marketing & Terminals LP,1734 Old Route 66 ,Delmont,PA,15626,T-25-PA-1761
DETMIMAR,MPLX Detroit,12700 Toronto St.,Detroit,MI,48201,T-38-MI-3015
DETMIWFP,Waterfront Petroleum Terminal Co.,5431 W Jefferson,Detroit,MI,48201,T-38-Mi-3047
DORGABP,Kinder Morgan Liquids Terminals LLC,6430 New Peachtree Road,Doraville,GA,30340,T-58-GA-2526
DORGACIT,CITGO - Doraville,3877 Flowers Drive,Doraville,GA,30340,T-58-GA-2529
DORGAMAR,MPLX Doraville,6293 New Peachtree Road,Doraville,GA,30340,T-58-GA-2532
DPILEXX,ExxonMobil Oil Corp.,2312 Terminal Drive,Arlington Heights,IL,60004,T-36-IL-3311
DPLNILEQ,Shell Oil Products US,1605 E. Algonquin Road,Des Plaines,IL,60016,T-36-IL-3316
DPLNILEX,ExxonMobil Oil Corp.,2312 Terminal Drive,Arlington Heights,IL,60004,T-36-IL-3311
DPLNILMA,MPLX Mt. Prospect,3231 Busse Road,Arlington Heights,IL,60005,T-36-IL-3307
DRUFLMAR,MPLX Jacksonville,2101 Heckscher Dr,DRUMMOND POINT,FL,NULL,T-59-FL-2106
DRVGAKM2,Kinder Morgan Liquids Terminals LLC,4064 Winters Chapel Rd,Doraville,GA,30340,T-58-GA-2534
DRVGAMOT,Motiva Enterprises LLC,4127 Winters Chapel Rd.,Doraville,GA,30340,T-58-GA-2510
DUOHCIT,CITGO - Dublin,6433 Cosgray Road,Dublin,OH,43016,T-31-OH-3120
DUPCOMAG,"Magellan Pipeline Company, L.P.",8160 Krameria,Dupont,CO,80024,T-84-CO-4105
EDBTXNUS,"NuStar Logistics, L. P. - Edinburg",222 W. Ingle Rd.,Edinburg,TX,78539,T-74-TX-2700
EDMABIOL,IOL EDMONTON,3910 92 Avenue,EDMONTON,AB,NULL,NULL
EFGILEQ,"Buckeye Terminals, LLC - Effingham",18264 N US Hwy 45,Effingham,IL,62401,T-37-IL-3368
ELDARDL,Lion Oil Co. -  El Dorado,1000 McHenry,El Dorado,AR,71730,T-71-AR-2451
ELPTXCHV,Western Refining - El Paso,6501 Trowbridge,El Paso,TX,79901,T-74-TX-2724
ELPTXVAL,"NuStar Logistics, L. P. - El Paso",4200 Justice Road,El Paso,TX,79901,T-74-TX-2750
ELPTXW,Western Refining - El Paso,6501 Trowbridge,El Paso,TX,79901,T-74-TX-2724
EVNINMAP,MPLX Evansville,2500 Broadway,Evansville,IN,47701,T-35-IN-3207
FAYNCMOT,Motiva Enterprises LLC,992 Shaw Mill Road,Fayetteville,NC,28301,T-56-NC-2009
FERMICIT,CITGO - Ferrysburg,524 Third Street,Ferrysburg,MI,49409,T-38-MI-3008
FLJAXBUC,"Buckeye Terminals, LLC - Jacksonville",2617 Heckscher Drive,Jacksonville,FL,32099,T-59-FL-2102
FLJAXCP,Center Point Terminal - Jacksonville,3101 Talley Rand Ave ,Jacksonville,FL,32099,T-59-FL-2681
FLJAXCP2,Center Point Terminal - Jacksonville,3101 Talley Rand Ave ,Jacksonville,FL,32099,T-59-FL-2681
FLJAXMAR,MPLX Jacksonville,2101 Heckscher Dr,Jacksonville,FL,32099,T-59-FL-2106
FLPTEBP,Motiva Enterprises LLC,1180 Spangler Road,Fort Lauderdale,FL,33301,T-65-FL-2152
FLTMPKM,Kinder Morgan Liquids Terminals LLC,2101 GATX Drive,Tampa,FL,33601,T-59-FL-2123
FRPTFLMU,"Murphy Oil USA, Inc. - Freeport",424 Madison St,Freeport,FL,32439,T-59-FL-2115
FRSCAKM,"SFPP, LP",4149 South Maple Avenue,Fresno,CA,93650,T-77-CA-4651
FRSFOR,"Buckeye Terminals, LLC - Decatur",266 E Shafer Drive,Forsyth,IL,62535,T-37-IL-3365
FRSILPHL,"Buckeye Terminals, LLC - Decatur",266 E Shafer Drive,Forsyth,IL,62535,T-37-IL-3365
FTLFLCIT,CITGO Petroleum Corporation,801 SE 28th Street,Fort Lauderdale,FL,33301,T-65-FL-2157
FTLFLMAP,MPLX Ft Lauderdale Eisenhower,1601 SE 20th St,Fort Lauderdale,FL,33301,T-65-FL-2160
FTLFLTPS,TransMontaigne - Port Everglades,2701 SE 14th Ave,Fort Lauderdale,FL,33301,T-65-FL-2165
FTNCOCSP,"Magellan Pipeline Company, L.P.",1004 S. Sante Fe,Fountain,CO,80817,T-84-CO-4106
GRENCCPT,Center Point Terminal - Greensboro,6900 West Market St,Greensboro,NC,27401,T-56-NC-2019
GRNNCKM,Kinder Morgan Southeast Terminals LLC,6376 Burnt Poplar Rd,Greensboro,NC,27401,T-56-NC-2015
GRNNCMA2,Magellan Terminals Holdings LP,115 Chimney Rock Road,Greensboro,NC,27401,T-56-NC-2020
GRNNCMAG,Magellan Terminals Holdings LP,7109 West Market Street,Greensboro,NC,27401,T-56-NC-2011
GRNNCMOT,Motiva Enterprises LLC,101 S. Chimney Rock Rd.,Greensboro,NC,27401,T-56-NC-2021
GRNNCT,Kinder Morgan Southeast Terminals LLC,6907 West Market Street,Greensboro,NC,27401,T-56-NC-2014
GRNNCTM,TransMontaigne - Greensboro,6801 West Market Street,Greensboro,NC,27401,T-56-NC-2022
GRNS/MOT,Motiva Enterprises LLC,101 S. Chimney Rock Rd.,Greensboro,NC,27401,T-56-NC-2021
GRYLAMAB,MPLX Garyville,Highway 61,Garyville,LA,70051,T-72-LA-2363
HAMMECOL,"Coldbrook Energy, Inc.",809 Main Road No,Hampden,ME,4444,T-01-ME-1002
HAMONSHL,SHELL HAMILTON,391 Burlington Street East,HAMILTON,ON,NULL,NULL
HARILWRT,Hartford Wood River Terminal,900 North Delmar,Hartford,IL,62048,T-37-IL-3354
HERTXMOT,Motiva Enterprises LLC,Highway 6 South,Hearne,TX,77859,T-74-TX-2702
HETOHMPX,MPLX Heath,840 Heath Road,Heath,OH,43056,T-31-OH-3102
HMMDINMA,MPLX Hammond,4206 Columbia Avenue,Hammond,IN,46320,T-35-IN-3218
HOOFLBUN,"Buckeye Terminals, LLC - Tampa",504 N 19th Street,HOOKERS POINT,FL,NULL,T-59-FL-2107
HRNTXSH,Motiva Enterprises LLC,Highway 6 South,Hearne,TX,77859,T-74-TX-2702
HRSTILEQ,"Buckeye Terminals, LLC - Harristown",600 E. Lincoln Memorial Pky,Harristown,IL,62537,T-37-IL-3369
HRTILEQ,"Buckeye Terminals, LLC - Hartford",220 E Hawthorne Street,Hartford,IL,62048,T-37-IL-3356
HSTTXMAG,"Magellan Pipeline Company, L.P.",7901 Wallisvile Road,Houston,TX,77001,T-76-TX-2831
HUNINMPX,MPLX Huntington,4648 N. Meridian Road,Huntington,IN,46750,T-35-IN-3208
HUNINSUN,Sunoco Partners Marketing & Terminals LP,4691 N Meridian St,Huntington,IN,46750,T-35-IN-3231
IMPCAKM,"SFPP, LP",345 W Aten Road,Imperial,CA,92251,T-33-CA-4763
INBPINDY,Kinder Morgan Liquids Terminals LLC,2500 N Tibbs Avenue,Indianapolis,IN,46201,T-35-IN-3204
INBUCCLE,"Buckeye Terminals, LLC - Raceway",3230 N Raceway Road,Indianapolis,IN,46201,T-35-IN-3226
INBUCMUN,"Buckeye Terminals, LLC - Muncie",2000 East State Rd. 28,Muncie,IN,47303,T-35-IN-3229
INBUCZIO,"Buckeye Terminals, LLC - Zionsville",5405 West 96th St.,Indianapolis,IN,46201,T-35-IN-3230
INDINKM,Kinder Morgan Liquids Terminals LLC,2500 N Tibbs Avenue,Indianapolis,IN,46201,T-35-IN-3204
INDYMACS,"Buckeye Terminals, LLC - Zionsville",5405 West 96th St.,Indianapolis,IN,46201,T-35-IN-3230
INMARSPE,MPLX Speedway,1304 Olin Ave,Indianapolis,IN,46201,T-35-IN-3222
INMARZIO,MPLX Indianapolis,4955 Robison Rd,Indianapolis,IN,46201,T-35-IN-3219
INSEYHWR,HWRT Terminal - Seymour,9780 N US Hwy 31,Seymour,IN,47274,T-35-IN-3216
JACFLTMT,TransMontaigne - Jacksonville,3425 Talleyrand Avenue,Jacksonville,FL,32099,T-59-FL-2105
JAMIMPLX,MPLX Jackson,2090 Morrill Rd,Jackson,MI,49201,T-38-MI-3017
JAXFLMAR,MPLX Jacksonville,2101 Heckscher Dr,Jacksonville,FL,32099,T-59-FL-2106
JAXFLNU,NuStar Terminals Operations Partnership L. P. - Jacksonville,6531 Evergreen Avenue,Jacksonville,FL,32099,T-59-FL-2112
JCVLFLVA,Center Point Terminal - Jacksonville,3101 Talley Rand Ave ,Jacksonville,FL,32099,T-59-FL-2681
KANILBKY,"Buckeye Terminals, LLC - Kankakee",275 North 2750 West Road,Kankakee,IL,60901,T-36-IL-3313
KENLAMOT,Motiva Enterprises LLC,143 Firehouse Dr.,Kenner,LA,70062,T-72-LA-2365
KINCOL,Kinder Morgan Southeast Terminals LLC,31 Kola Road,Collins,MS,39428,T-64-MS-2402
KINONSHL,SHELL KINGSTON,1250 Sydenham Road,Kingston,ON,NULL,NULL
KINSAN,"SFPP, LP",2150 Kruse Avenue,San Jose,CA,95131,T-77-CA-4652
KINTHR,Kinder Morgan Southeast Terminals LLC,6801 Freedom Dr,THRIFT,NC,28214,T-56-NC-2000
KNKEIL,"Buckeye Terminals, LLC - Kankakee",275 North 2750 West Road,Kankakee,IL,60901,T-36-IL-3313
